03/01/2023 09:07:48|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2023 09:07:48|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
03/01/2023 09:07:48|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2023 09:07:49|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
03/01/2023 09:12:36|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2023 09:12:36|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
03/01/2023 09:12:36|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2023 09:12:37|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
03/01/2023 09:12:37|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
03/01/2023 09:44:08|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2023 09:44:08|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
03/01/2023 09:44:08|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2023 09:44:08|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
03/01/2023 09:44:08|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
03/01/2023 09:53:09|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2023 09:53:09|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
03/01/2023 09:53:09|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2023 09:53:09|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
03/01/2023 09:53:10|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
